protocol,loss_rate,file_size,trial,file_bytes,transfer_time_seconds,throughput_bytes_per_second,retransmissions,status
Go-Back-N,0.0,10KB,1,10240,0.052,197324.6,0,CHECK
Go-Back-N,0.0,10KB,2,10240,0.036,285706.41,0,CHECK
Go-Back-N,0.0,10KB,3,10240,0.052,197813.55,0,CHECK
Go-Back-N,0.0,10KB,4,10240,0.051,198984.79,0,CHECK
Go-Back-N,0.0,10KB,5,10240,0.053,192319.14,0,CHECK
Go-Back-N,0.0,50KB,1,51200,0.052,990788.09,0,CHECK
Go-Back-N,0.0,50KB,2,51200,0.051,1006290.19,0,CHECK
Go-Back-N,0.0,50KB,3,51200,0.052,979535.04,0,CHECK
Go-Back-N,0.0,50KB,4,51200,0.052,988353.06,0,CHECK
Go-Back-N,0.0,50KB,5,51200,0.05,1026732.86,0,CHECK
Go-Back-N,0.0,100KB,1,102400,0.041,2515427.86,0,CHECK
Go-Back-N,0.0,100KB,2,102400,0.054,1905081.13,0,CHECK
Go-Back-N,0.0,100KB,3,102400,0.051,2026711.89,0,CHECK
Go-Back-N,0.0,100KB,4,102400,0.054,1909307.13,0,CHECK
Go-Back-N,0.0,100KB,5,102400,0.052,1986681.64,0,CHECK
Go-Back-N,0.0,500KB,1,512000,0.05,10271060.73,0,CHECK
Go-Back-N,0.0,500KB,2,512000,0.051,10001786.82,0,CHECK
Go-Back-N,0.0,500KB,3,512000,0.049,10352461.94,0,CHECK
Go-Back-N,0.0,500KB,4,512000,0.052,9821378.29,0,CHECK
Go-Back-N,0.0,500KB,5,512000,0.052,9915383.38,0,CHECK
Go-Back-N,0.0,1MB,1,1048576,0.052,20296396.76,0,CHECK
Go-Back-N,0.0,1MB,2,1048576,0.042,25186817.5,0,CHECK
Go-Back-N,0.0,1MB,3,1048576,0.042,25166208.01,0,CHECK
Go-Back-N,0.0,1MB,4,1048576,0.054,19504397.14,0,CHECK
Go-Back-N,0.0,1MB,5,1048576,0.054,19545136.04,0,CHECK
Go-Back-N,0.1,10KB,1,10240,0.057,178207.76,0,CHECK
Go-Back-N,0.1,10KB,2,10240,0.048,215570.77,0,CHECK
Go-Back-N,0.1,10KB,3,10240,0.054,189166.44,0,CHECK
Go-Back-N,0.1,10KB,4,10240,0.051,201569.74,0,CHECK
Go-Back-N,0.1,10KB,5,10240,0.05,203146.66,0,CHECK
Go-Back-N,0.1,50KB,1,51200,0.055,933080.01,0,CHECK
Go-Back-N,0.1,50KB,2,51200,0.052,990267.25,0,CHECK
Go-Back-N,0.1,50KB,3,51200,0.048,1069117.89,0,CHECK
Go-Back-N,0.1,50KB,4,51200,0.047,1083110.73,0,CHECK
Go-Back-N,0.1,50KB,5,51200,0.051,1003548.62,0,CHECK
Go-Back-N,0.1,100KB,1,102400,0.053,1936309.71,0,CHECK
Go-Back-N,0.1,100KB,2,102400,0.053,1917353.32,0,CHECK
Go-Back-N,0.1,100KB,3,102400,0.051,2005438.44,0,CHECK
Go-Back-N,0.1,100KB,4,102400,0.051,2017259.46,0,CHECK
Go-Back-N,0.1,100KB,5,102400,0.049,2090557.76,0,CHECK
Go-Back-N,0.1,500KB,1,512000,0.049,10350366.29,0,CHECK
Go-Back-N,0.1,500KB,2,512000,0.051,10078202.98,0,CHECK
Go-Back-N,0.1,500KB,3,512000,0.054,9408842.62,0,CHECK
Go-Back-N,0.1,500KB,4,512000,0.052,9938097.09,0,CHECK
Go-Back-N,0.1,500KB,5,512000,0.054,9465534.38,0,CHECK
Go-Back-N,0.1,1MB,1,1048576,0.034,30666144.96,0,CHECK
Go-Back-N,0.1,1MB,2,1048576,0.032,32509971.77,0,CHECK
Go-Back-N,0.1,1MB,3,1048576,0.048,21737533.73,0,CHECK
Go-Back-N,0.1,1MB,4,1048576,0.053,19919500.85,0,CHECK
Go-Back-N,0.1,1MB,5,1048576,0.051,20386053.97,0,CHECK
Go-Back-N,0.2,10KB,1,10240,0.048,212395.03,0,CHECK
Go-Back-N,0.2,10KB,2,10240,0.054,190561.36,0,CHECK
Go-Back-N,0.2,10KB,3,10240,0.05,203603.13,0,CHECK
Go-Back-N,0.2,10KB,4,10240,0.051,202179.85,0,CHECK
Go-Back-N,0.2,10KB,5,10240,0.05,205874.16,0,CHECK
Go-Back-N,0.2,50KB,1,51200,0.051,1002920.59,0,CHECK
Go-Back-N,0.2,50KB,2,51200,0.053,961518.22,0,CHECK
Go-Back-N,0.2,50KB,3,51200,0.05,1025272.09,0,CHECK
Go-Back-N,0.2,50KB,4,51200,0.052,983311.58,0,CHECK
Go-Back-N,0.2,50KB,5,51200,0.048,1076357.37,0,CHECK
Go-Back-N,0.2,100KB,1,102400,0.049,2074693.04,0,CHECK
Go-Back-N,0.2,100KB,2,102400,0.055,1865924.91,0,CHECK
Go-Back-N,0.2,100KB,3,102400,0.05,2057163.87,0,CHECK
Go-Back-N,0.2,100KB,4,102400,0.049,2082327.62,0,CHECK
Go-Back-N,0.2,100KB,5,102400,0.054,1879865.93,0,CHECK
Go-Back-N,0.2,500KB,1,512000,0.051,10033329.35,0,CHECK
Go-Back-N,0.2,500KB,2,512000,0.049,10519609.72,0,CHECK
Go-Back-N,0.2,500KB,3,512000,0.052,9836313.56,0,CHECK
Go-Back-N,0.2,500KB,4,512000,0.05,10193735.36,0,CHECK
Go-Back-N,0.2,500KB,5,512000,0.049,10500218.31,0,CHECK
Go-Back-N,0.2,1MB,1,1048576,0.05,20963243.27,0,CHECK
Go-Back-N,0.2,1MB,2,1048576,0.048,21653520.31,0,CHECK
Go-Back-N,0.2,1MB,3,1048576,0.05,21049932.09,0,CHECK
Go-Back-N,0.2,1MB,4,1048576,0.048,21796786.08,0,CHECK
Go-Back-N,0.2,1MB,5,1048576,0.048,21947325.53,0,CHECK
Go-Back-N,0.3,10KB,1,10240,0.052,197329.14,0,CHECK
Go-Back-N,0.3,10KB,2,10240,0.048,215093.59,0,CHECK
Go-Back-N,0.3,10KB,3,10240,0.054,189672.69,0,CHECK
Go-Back-N,0.3,10KB,4,10240,0.051,199248.8,0,CHECK
Go-Back-N,0.3,10KB,5,10240,0.048,211278.12,0,CHECK
Go-Back-N,0.3,50KB,1,51200,0.05,1030264.66,0,CHECK
Go-Back-N,0.3,50KB,2,51200,0.051,1012615.3,0,CHECK
Go-Back-N,0.3,50KB,3,51200,0.052,977266.11,0,CHECK
Go-Back-N,0.3,50KB,4,51200,0.05,1027779.52,0,CHECK
Go-Back-N,0.3,50KB,5,51200,0.051,998555.58,0,CHECK
Go-Back-N,0.3,100KB,1,102400,0.052,1963189.26,0,CHECK
Go-Back-N,0.3,100KB,2,102400,0.049,2093206.8,0,CHECK
Go-Back-N,0.3,100KB,3,102400,0.052,1978472.62,0,CHECK
Go-Back-N,0.3,100KB,4,102400,0.052,1961315.57,0,CHECK
Go-Back-N,0.3,100KB,5,102400,0.05,2065225.71,0,CHECK
Go-Back-N,0.3,500KB,1,512000,0.054,9543141.76,0,CHECK
Go-Back-N,0.3,500KB,2,512000,0.051,10029955.34,0,CHECK
Go-Back-N,0.3,500KB,3,512000,0.052,9828390.41,0,CHECK
Go-Back-N,0.3,500KB,4,512000,0.052,9848041.6,0,CHECK
Go-Back-N,0.3,500KB,5,512000,0.05,10142030.35,0,CHECK
Go-Back-N,0.3,1MB,1,1048576,0.044,23600620.92,0,CHECK
Go-Back-N,0.3,1MB,2,1048576,0.05,20925939.28,0,CHECK
Go-Back-N,0.3,1MB,3,1048576,0.049,21197039.34,0,CHECK
Go-Back-N,0.3,1MB,4,1048576,0.053,19831208.85,0,CHECK
Go-Back-N,0.3,1MB,5,1048576,0.053,19665390.13,0,CHECK
